PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Liu, Xuejiao; Wu, Hao; He, Zhenyu; Gao, Jun; Meng, Xie; Luo, Ting; Chen, Chusheng; Zhan, Zhongliang				Gao, Jun/AAP-9392-2021	Gao, Jun/0000-0003-3735-3371; He, Zhenyu/0000-0002-9264-4342			Hebb-Wagner polarization assessment of enhanced oxygen permeability for surface modified oxygen transport membranes								INTERNATIONAL JOURNAL OF HYDROGEN ENERGY				42	29	SI		18410	18416		10.1016/j.ijhydene.2017.03.206				JUL 20 2017	2017	Tri-layered "porous I dense I porous" La0.8Sr0.2Cr0.5Fe0.5O3-delta-Zr0.84Y0.16O2-delta (LSCrF-YSZ) oxygen transport membranes (OTMs) were fabricated and permeation resistances from oxygen reduction and evolution reactions were determined 'by using Hebb-Wagner polarization method after introducing additional electron-blocking YSZ thin layers within the dense LSCrF-YSZ layers. Adding nano-scale catalysts, i.e. La0.6Sr0.4CO0.2Fe0.8O3-delta (LSCoF) on air side and Ce0.8Sm0.20O1.9-delta/Ni (SDC/Ni) on CH4 side, into the porous LSCrF-YSZ layers yielded substantially reduced interfacial polarization resistances, and thereby allowed for high oxygen permeability at reduced temperatures under the air/CH4 gradient, e.g., 1.1 and 4.3 ml cm(-2) min(-1) at 650 and 800 degrees C, respectively. Analysis of the impedance spectra suggest that the oxygen reduction kinetics on air side was probably limited by charge transfer reaction at T >= 750 degrees C and surface oxygen exchange at T <= 700 degrees C. Meanwhile, oxygen evolution reactions on CH4 side dominated the total resistances to oxygen permeation through the tri-layered OTMs. (C) 2017 Hydrogen Energy Publications LLC. Published by Elsevier Ltd. All rights reserved.					5th International Conference on Energy Engineering and Environmental Engineering (ICEEEE)5th International Conference on Energy Engineering and Environmental Engineering (ICEEEE)	APR 15-16, 2017APR 15-16, 2017		Xiamen, PEOPLES R CHINAXiamen, PEOPLES R CHINA	2	0	0	0	0	0	2			0360-3199	1879-3487		WOS:000407657900034		
J	BENNETT, JE								ELECTRODES FOR GENERATION OF HYDROGEN AND OXYGEN FROM SEAWATER								INTERNATIONAL JOURNAL OF HYDROGEN ENERGY				5	4			401	408		10.1016/0360-3199(80)90021-X				1980	1980										146	7	0	0	17	0	152			0360-3199			WOS:A1980KG39600005		
J	HARRISON, JA; CALDWELL, DL; WHITE, RE								ELECTROCATALYSIS AND THE OXYGEN EVOLUTION REACTION								ELECTROCHIMICA ACTA				29	8			1139	1145		10.1016/0013-4686(84)87168-6				1984	1984										6	0	0	0	0	0	6			0013-4686			WOS:A1984TF77800016		
J	Veettil, Vineesh Thazhe; Vijayakumar, Anagha Usha; Ashdot, Aviv; Zitoun, David					Thazhe Veettil, Vineesh/0000-0002-8559-2556; Zitoun, David/0000-0003-3383-6165			Precious-Group-Metal-Free Energy-Efficient Urea Electrolysis: Membrane Electrode Assembly Cell Using Ni3N Nanoparticles as Catalyst								ACS APPLIED ENERGY MATERIALS				5	2			1397	1402		10.1021/acsaem.1c03689		JAN 2022		FEB 28 2022	2022	The sluggish kinetics of the anodic oxygen evolution reaction (OER) limit the overall efficiency of green hydrogen production. The proposed strategy to overcome this is to replace OER with other kinetically favorable anodic reactions like urea oxidation reaction (UOR). Herein, we develop an organometallic synthesis of nickel nitride nanoparticles supported on carbon (Ni3N-C) as the catalyst for both UOR and hydrogen evolution reaction (HER). A precious group metal-free electrolyzer based on Ni3N-C catalyst (as both anode and cathode) is implemented for the first time, and the urea electrolyzer cell has a 200 mV lower overpotential compared to that of the water electrolyzer.									4	0	0	0	0	0	4			2574-0962			WOS:000745851300001		
J	Wang, Hua-ling; Huang, Hong-xia; Wei, Chen-hui; Zhou, Long; Liu, Jin-liang								Study on the preparation and catalytic performance of CeO2/ La0.4Sr0.6Co0.8Ni0.2O3 hybrid materials								CHEMICAL PHYSICS LETTERS				806						140027	10.1016/j.cplett.2022.140027				NOV 2022	2022	In this paper, CeO2 was synthesized by hydrothermal synthesis, and a proper amount of CeO2 was compounded with perovskite oxide La0.4Sr0.6Co0.8Ni0.2O3, which is prepared by sol-gel method. Through the steady-state polarization test, it is concluded that the hybrid material with 20% CeO2 has the best catalytic effect of oxy-gen evolution reaction (OER) and oxygen reduction reaction (ORR). The current densities of 20% CeO2 are 0.3726 A.cm(-2) (0.9 V vs. Hg/HgO) and 0.3917 A.cm(-2) (-0.6 V vs. Hg/HgO), implying that it is a promising bifunctional catalyst for oxygen electrode.									0	0	0	0	0	0	0			0009-2614	1873-4448		WOS:000856577700004		
J	Monahov, B; Pavlov, D; Petrov, D					Pavlov, Detchko/0000-0002-4104-2149			Influence of Ag as alloy additive on the oxygen evolution reaction on Pb/PbO2 electrode								JOURNAL OF POWER SOURCES				85	1			59	62		10.1016/S0378-7753(99)00383-3				JAN 2000	2000	When a Pb/PbO2 electrode is polarised in the PbO2 potential region (phi greater than or equal to 1.0 V vs. Hg/Hg2SO4 reference electrode), oxygen is evolved in parallel to PbO2 formation. The rate of oxygen evolution depends on potential, temperature and alloying additives. In this investigation, the influence of Ag as alloying additive on the oxygen evolution reaction is studied using linear sweep voltammetry. Based on Tafel and Arrhenius plots, the influence of Ag on the oxygen overvoltage and on the activation energy of the process is determined. It was found that Ag from the metal surface is oxidized and Ag ions are incorporated into the PbO2 layer where they decrease both the activation energy and the oxygen overvoltage of the process. Ag also changes the alpha/beta-PbO2 ratio and the structure of the PbO2 layer. (C) 2000 Elsevier Science S.A. All rights reserved.					International Conference on Lead-Acid Batteries (LABAT 99)International Conference on Lead-Acid Batteries (LABAT 99)	JUN 07-10, 1999JUN 07-10, 1999	ELHIM ISKRA Ltd; POLISEP Ltd; START Ltd; Bulgarian Acad Sci, Dept Lead Acid Batteries, Central Lab Electrochem Power SourcesELHIM ISKRA Ltd; POLISEP Ltd; START Ltd; Bulgarian Acad Sci, Dept Lead Acid Batteries, Central Lab Electrochem Power Sources	SOFIA, BULGARIASOFIA, BULGARIA	43	10	0	0	2	0	53			0378-7753			WOS:000085314200016		
J	Zhang, An; Liang, Yongxiang; Zhang, Han; Geng, Zhigang; Zeng, Jie				Zeng, Jie/AGS-5457-2022; Zeng, Jie/H-1327-2011; Geng, Zhigang/ABC-9685-2020	Zeng, Jie/0000-0002-8812-0298; Zeng, Jie/0000-0002-8812-0298; Geng, Zhigang/0000-0003-3183-5900			Doping regulation in transition metal compounds for electrocatalysis								CHEMICAL SOCIETY REVIEWS				50	17			9817	9844		10.1039/d1cs00330e		JUL 2021		SEP 7 2021	2021	In electrocatalysis, doping regulation has been considered as an effective method to modulate the active sites of catalysts, providing a powerful means for creating a large variety of highly efficient catalysts for various reactions. Of particular interest, there has been growing research concerning the doping of two-dimensional transition-metal compounds (TMCs) to optimize their electrocatalytic performance. Despite the previous achievements, mechanistic insights of doping regulation in TMCs for electrocatalysis are still lacking. Herein, we provide a systematic overview of doping regulation in TMCs in terms of background, preparation, impacts on physicochemical properties, and typical applications including the hydrogen evolution reaction, oxygen evolution reaction, oxygen reduction reaction, CO2 reduction reaction, and N-2 reduction reaction. Notably, we bridge the understanding between the doping regulation of catalysts and their catalytic activities via focusing on the physicochemical properties of catalysts from the aspects of vacancy concentrations, phase transformation, surface wettability, electrical conductivity, electronic band structure, local charge distribution, tunable adsorption strength, and multiple adsorption configurations. We also discuss the existing challenges and future perspectives in this promising field.									70	1	0	0	3	0	70			0306-0012	1460-4744		WOS:000678760800001	34308950	
J	Meng, Qingguo; Yang, Jianjian; Ma, Shixuan; Zhai, Mujun; Lu, Jitao					Meng, Qingguo/0000-0003-1701-7717			A Porous Cobalt (II) Metal-Organic Framework with Highly Efficient Electrocatalytic Activity for the Oxygen Evolution Reaction								POLYMERS				9	12					676	10.3390/polym9120676				DEC 2017	2017	A 3D porous framework ([Co-1.5(tib)(dcpna)]6H(2)O) (1) with a Wei topology has been synthesized by solvothermal reaction of 1,3,5-tris(1-imidazolyl)-benzene (tib), 5-(3',5'-dicarboxylphenyl)nicotinic acid (H(3)dcpna) and cobalt nitrate. The electrocatalytic activity for water oxidation of 1 has been investigated in alkaline solution. Compound 1 exhibits good oxygen evolution reaction (OER) activities in alkaline solution, exhibiting 10 mA.cm(-2) at eta = 360 mV with a Tafel slope of 89 mV.dec(-1). The high OER activity can be ascribe to 1D open channels along b axis of 1, which expose more activity sites and facilitate the electrolyte penetration.									17	0	0	0	1	0	17				2073-4360		WOS:000419239400042	30965980	
J	Balaji, Rengarajan; Balasingam, Suresh Kannan; Lakshmi, Jothinathan; Senthil, Natarajan; Vasudevan, Subramanyan; Sozhan, Ganapathy; Shukla, Ashok Kumar; Ravichandran, Subbiah				VASUDEVAN, S./O-5124-2014; Balasingam, Suresh Kannan/E-1631-2013	VASUDEVAN, S./0000-0003-4879-2847; Balasingam, Suresh Kannan/0000-0003-3774-4209			An alternative approach to selective sea water oxidation for hydrogen production								ELECTROCHEMISTRY COMMUNICATIONS				11	8			1700	1702		10.1016/j.elecom.2009.06.022				AUG 2009	2009	Sea water electrolysis is one of the promising ways to produce hydrogen since it is available in plentiful supply on the earth. However, in sea water electrolysis toxic chlorine evolution is the preferred reaction over oxygen evolution at the anode. In this work, research has been focused on the development of electrode materials with a high selectivity for oxygen evolution over chlorine evolution. Selective oxidation in sea water electrolysis has been demonstrated by using a cation-selective polymer. We have used a perm-selective membrane (Naflon (R)), which electrostatically repels chloride ions (Cl-) to the electrode surface and thereby enhances oxygen evolution at the anode. The efficiency and behaviour of the electrode have been characterized by means of anode current efficiency and polarization studies. The surface morphology of the electrode has been characterized by using a scanning electron microscope (SEMI). The results suggest that nearly 100% oxygen evolution efficiency could be achieved when using an IrO2/Ti electrode surface-modified by a perm-selective polymer. (C) 2009 Elsevier B.V. All rights reserved.									49	1	0	0	4	0	49			1388-2481	1873-1902		WOS:000269425400038		
J	Li, Laiquan; Yang, Hongbin; Miao, Jianwei; Zhang, Liping; Wang, Hsin-Yi; Zeng, Zhiping; Huang, Wei; Dong, Xiaochen; Liu, Bin				Huang, Wei/A-4461-2009; Liu, Bin/C-4638-2013	Huang, Wei/0000-0001-7004-6408; Liu, Bin/0000-0002-4685-2052; Li, Laiquan/0000-0002-3301-9029; Zeng, Zhiping/0000-0002-6315-4408			Unraveling Oxygen Evolution Reaction on Carbon-Based Electrocatalysts: Effect of Oxygen Doping on Adsorption of Oxygenated Intermediates								ACS ENERGY LETTERS				2	2			294	300		10.1021/acsenergylett.6b00681				FEB 2017	2017	Carbon-based nanomaterials have been widely studied as promising electrocatalysts for energy conversion and storage. Understanding the oxygen evolution and reduction reactions on carbon-based nanomaterials is of critical importance for development of highly active metal-free electrocatalysts. Here, the adsorption of oxygenated intermediates during oxygen evolution reaction (OER) on carbon nanotubes (CNTs) was examined by ex-situ X-ray photoelectron spectroscopy and in situ electrochemical impedance spectroscopy. The results demonstrate that the carbon atoms on CNTs near the C=0 functional groups are active for OER. On the basis of this result, we further revealed the origin of the enhanced intermediate adsorption on surface-oxidized CNTs and the relationship between surface groups and apparent activation energy. Our study gained new understanding of OER on oxygen-doped carbon nanomaterials and provided an effective approach for investigating electrocatalysis on heteroatom-doped carbon electrocatalysts.									103	3	0	0	2	0	103			2380-8195			WOS:000394080000002		
J	Huang, Keke								An emerging platform for electrocatalysis: perovskite exsolution								SCIENCE BULLETIN				61	23			1783	1784		10.1007/s11434-016-1194-8				DEC 2016	2016										14	3	0	0	4	0	14			2095-9273	2095-9281		WOS:000390007200003		
