PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Li, D.; Carette, M.; Granier, A.; Landesman, J. P.; Goullet, A.				Li, Dayu/G-8725-2016; Li, Dayu/AAG-5833-2019; granier, agnes/A-7751-2010	Li, Dayu/0000-0002-7845-3638; Li, Dayu/0000-0002-7845-3638; granier, agnes/0000-0002-1054-8139; Goullet, Antoine/0000-0001-5411-4351; Carette, Michele/0000-0001-7608-0498			Spectroscopic ellipsometry analysis of TiO2 films deposited by plasma enhanced chemical vapor deposition in oxygen/titanium tetraisopropoxide plasma								THIN SOLID FILMS				522				366	371		10.1016/j.tsf.2012.07.091				NOV 1 2012	2012	TiO2 thin films were deposited at low pressure and temperature on silicon substrates using plasma enhanced chemical vapor deposition in oxygen rich O-2/titanium tetraisopropoxide inductively coupled radiofrequency plasmas. The influence of substrate bias V-b(|V-b|<= 50 V) on the film properties was investigated. The results obtained by fitting ellipsometry spectra in the 1.5-6 eV range, using a three-sublayer physical model, are in good agreement with the film morphology when no bias is applied or V-b=-10 V. The refractive indices in the transparent range are enhanced at V-b=-50 V, according to a physical model which only includes a homogenous layer and a top roughness layer. Scanning electron microscopic views show that all the films exhibit a columnar structure, but layer compactness and organization increase with the bias. The film structure evolution as a function of V-b is also evidenced on the refractive index dispersion curves. Complementary X-ray diffraction and Fourier transform infrared spectroscopy measurements show that films are basically amorphous mixed with a small amount of anatase at the floating potential (V-b=0), whereas applying a bias voltage leads to the enhancement of anatase phase and the appearance of rutile phase (V-b=-50 V). (C) 2012 Elsevier B.V. All rights reserved.									22	0	0	0	0	0	22			0040-6090	1879-2731		WOS:000310782000066		
J	Liu, Haijun; Frankel, Laurie K.; Bricker, Terry M.					Liu, Haijun/0000-0003-0537-0302			Functional analysis of photosystem II in a PsbO-1-deficient mutant in Arabidopsis thaliana								BIOCHEMISTRY				46	25			7607	7613		10.1021/bi700107w				JUN 26 2007	2007	The Arabidopsis thaliana mutant psbo1 (formerly the mutant LE18-30), which contains a point mutation in the psbO-1 gene leading to defective expression of the PsbO-1 protein, has recently been described [Murakami, R. et al. (2002) FEBS Lett. 523, 138-142]. This mutant completely lacks the PsbO-1 protein and overexpresses the PsbO-2 protein. To further study the effect of PsbO-1 deficiency on the function of photosystem II, the polyphasic chlorophyll a fluorescence rise and flash fluorescence induction and decay of the relative fluorescence quantum yield were measured in whole leaves from wild type and the psbo1 mutant. Additionally, flash oxygen yield experiments were performed on thylakoid membranes isolated from wild type and the psbo1 mutant. The results obtained indicate that during fluorescence induction the psbo1 gene exhibited an enhanced O to P transition. Additionally, while the J to I transition in wild type accounted for more than 30% of the total fluorescence yield, in the mutant it accounted for less than 2% rise in the total. Analysis of the flash-induced fluorescence rise in the presence of DCMU indicated that in wild type the ratio of PS II alpha to PS II beta reaction centers was similar to 1.2 while in the mutant the ratio was similar to 0.3. Fluorescence decay kinetics in the absence of DCMU indicated that electron transfer to Q(B) was significantly altered in the mutant. Fluorescence decay kinetics in the presence of DCMU indicated that the charge recombination between Q(A)(-) and the S-2 state of the oxygen-evolving complex was retarded. Furthermore, flash oxygen yield analysis indicated that both the S-2 and S-3 states exhibited significantly longer lifetimes in the psbo1 mutant than in wild type. Our data indicate that while PsbO-1-deficient plants can grow photoautotrophically (although at a reduced growth rate) the photochemistry of PS II is significantly altered.									27	1	1	0	27	0	28			0006-2960			WOS:000247340300029	17542616	
J	MACLACHLAN, DJ; NUGENT, JHA								INVESTIGATION OF THE S3 ELECTRON-PARAMAGNETIC-RESONANCE SIGNAL FROM THE OXYGEN-EVOLVING COMPLEX OF PHOTOSYSTEM-2 - EFFECT OF INHIBITION OF OXYGEN EVOLUTION BY ACETATE								BIOCHEMISTRY				32	37			9772	9780		10.1021/bi00088a032				SEP 21 1993	1993	An S3 electron paramagnetic resonance (EPR) signal is observed in a variety of photosystem 2 (PS2) samples in which the oxygen-evolving complex (OEC) has been inhibited. These signals have been proposed to be due to an interaction, S2X+, between the manganese cluster in an oxidation state equivalent to S2 and an organic radical, either oxidized histidine [Boussac et al. (1990) Nature 347, 303-3061 or the tyrosine radical Y(z)+ [Hallahan et al. (1992) Biochemistry 31, 4562-45731. We report that treatment of PS2 with acetate at pH 5.5 leads to a slowing of the reduction of Y(z)+ and allows the trapping of an S3-type state on freezing to 77 K following illumination at 277 K. The S3 EPR signal in acetate-treated PS2 has a broader and more complex line shape but otherwise has similar properties to other S3 signals. The addition to acetate-treated samples in the S1 state of the herbicide 3-(3,4-dichlorophenyl)-1,1-dimethylurea (DCMU), which allows only a single turnover of the reaction center, causes a large reduction in the yield of the S3 signal. Various anion and cation treatments change the S3 signal line shape and are used to show that acetate probably acts by binding and displacing chloride. We propose that a variety of treatments which affect calcium and chloride cofactor binding cause a modification of the S2 state of the manganese cluster, slow the reduction of Y(z)+ and allow an S3 EPR signal to be observed following illumination. The origin of the S3 signal, whether a modified S3 or S2X+ where X is an organic radical, remains in doubt as the involvement and identity of the organic radical is still uncertain.									78	0	0	0	55	0	78			0006-2960			WOS:A1993LY29400032	8396970	
J	Yuasa, Hajime Julie; Hasegawa, Tetsuo; Nakamura, Takahiro; Suzuki, Tomohiko								Bacterial expression and characterization of molluscan IDO-like myoglobin								COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY				146	4			461	469		10.1016/j.cbpb.2006.11.028				APR 2007	2007	The indoleamine 2,3-dioxygenase (IDO)-like myoglobin (Mb) is a unique type of N4b isolated from the buccal mass of several archgastropod species. Here, we expressed Sulculus diversicolor IDO-like Mb as a GST-fusion protein in bacteria. The visible spectrum of GST-fusion fDO-like Mb shows characteristic alpha- and beta-peaks, indicating that it binds oxygen. To identify residues important in heme and oxygen binding, we constructed site-directed mutants. We initially replaced each of the 7 histidines of S. diversicolor IDO-like W with alanine. The spectra of three mutants (H74A, H288A, and H332A) revealed a remarkable loss of absorbance around 414 nm, indicating that they cannot bind heme. HiS(74), HiS(288), and His(332) were also replaced by arginine or tyrosine. Neither H332R nor H332Y contains heme, suggesting that His(332) is the proximal ligand of IDO-like Mb. In contrast, both H74R and H288Y mutants were isolated in the heme-binding oxy-form. The autoxidation rates of these two mutants showed that they can bind oxygen as stably as wild-type. His 74 and His 288 might be partially associated with heme-binding, but do not act as the distal ligand. The S. diversicolor IDO-like Mb seems to stably bind oxygen in a different manner from normal myoglobins. (c) 2006 Elsevier Inc. All rights reserved.									8	0	0	0	6	0	8			1096-4959	1879-1107		WOS:000245330400003	17276715	
J	Gou, X; Li, N; Lian, LS; Yan, DW; Zhang, H; Wu, CX								Hypoxia adaptation and hemoglobin mutation in Tibetan chick embryo								SCIENCE IN CHINA SERIES C-LIFE SCIENCES				48	6			616	623		10.1360/062004-116				DEC 2005	2005	Tibetan chick lives at high altitudes between 2600 and 4200 m with a high hatchability and low land breeds survive rarely with a hatchability of 3.0% under hypoxia of simulated 4200 m. Under hypoxia of whole 21 cl, the hatchability of Tibetan chick and Recessive White Feather broiler differed with a greatest disparity from day 4 to 11 and also significantly in other stages except from day 1 to 3. Hypoxia in each stage did not reduce significantly survival rate of this stage except hatchability. These two results indicated that the hypoxia in the early stage had an adverse effect on the later stage. All exons encoding chick hemoglobins were sequenced to analyze gene polymorphism. The functional mutation Met-32(B13)-Leu, related with hypoxia, was found in alpha(D) globin chain and the mutation frequency increased with increased altitude. In addition, under hypoxic conditions, the population with higher mutation frequency had a higher hatchability. The automated homology model building was carried out using crystal structure coordinates of chick HbD. The results indicated that the substitution Met-32(B13)-Leu provides a more hydrophobic environment which leads to higher stability of heme and oxygen affinity of hemoglobin. The occurrence of the mutation Met-32(B13)-Leu is related to the origin of Tibetan chick.									16	1	0	0	12	0	17			1006-9305			WOS:000235013600010	16483141	
J	Zheng, Xiaoqi; Feng, Liping; Dou, Yewei; Guo, Huitian; Liang, Yincui; Li, Gangquan; He, Jiongjie; Liu, Pengfei; He, Jun				Dou, yewei/GXH-8202-2022				High Carrier Separation Efficiency in Morphology-Controlled BiOBr/C Schottky Junctions for Photocatalytic Overall Water Splitting								ACS NANO				15	8			13209	13219		10.1021/acsnano.1c02884		AUG 2021		AUG 24 2021	2021	As a graphene-like ternary layered material, BiOBr, has emerged as a promising material for photocatalytic degradation and water treatment; however, its potential application in photocatalytic H-2 generation has not been explored clearly. In our study, BiOBr/C Schottky junctions with two stack forms, the parallel and vertical junctions, were prepared controllably via CVD. Their applications in photocatalytic H-2 generation and overall water splitting have been investigated systematically. Both the parallel and vertical junctions show a breakthrough in light response and H-2 generation under visible light (lambda > 420 nm). The high H-2 generation rate of the parallel junctions can reach up to 2850 mu mol h(-1) g(-1), which is 18 times more than that of the vertical ones, because of the greatly enhanced efficiency of carrier separation. In particular, the parallel junctions exhibit excellent photocatalytic overall water splitting, with an H-2 generation rate of 240 mu mol h(-1) g(-1) and oxygen generation rate of 110 mu mol h(-1) g(-1). The active site of the H-2 reduction reaction of the two junctions is determined, and the transfer of photogenerated carriers is monitored by Kelvin probe force microscopy. On this basis, the mechanism of carrier separation of parallel and vertical junctions has been analyzed. This work pushes the series of ternary layered materials of BiOBr toward the applications of photocatalytic H-2 generation and overall water splitting.									19	0	0	0	5	0	19			1936-0851	1936-086X		WOS:000693105500056		
J	Peeters, Daniel; Sadlo, Alexander; Lowjaga, Katarina; Reyes, Oliver Mendoza; Wang, Lidong; Mai, Lukas; Gebhard, Maximilian; Rogalla, Detlef; Becker, Hans-Werner; Giner, Ignacio; Grundmeier, Guido; Mitoraj, Dariusz; Grafen, Markus; Ostendorf, Andreas; Beranek, Radim; Devi, Anjana				Mai, Lukas/P-4639-2016; Devi, Anjana/C-6668-2008; Gebhard, Maximilian/P-5927-2016; Ostendorf, Andreas/E-4469-2011; Sadlo, Alexander/F-9117-2018; Devi, Anjana/AAG-1930-2020	Mai, Lukas/0000-0001-8949-0736; Devi, Anjana/0000-0003-2142-8105; Gebhard, Maximilian/0000-0002-9293-8025; Ostendorf, Andreas/0000-0002-3601-6392; Sadlo, Alexander/0000-0002-7597-8164; Devi, Anjana/0000-0003-2142-8105; Grafen, Markus/0000-0002-6941-9235; Rogalla, Detlef/0000-0002-5404-2498; Peeters, Daniel/0000-0002-7602-0708; Becker, Hans-Werner/0000-0002-8860-4911			Nanostructured Fe2O3 Processing via Water-Assisted ALD and Low-Temperature CVD from a Versatile Iron Ketoiminate Precursor								ADVANCED MATERIALS INTERFACES				4	18	SI				1700155	10.1002/admi.201700155				SEP 22 2017	2017	Vapor phase deposited iron oxide nanostructures are promising for fabrication of solid state chemical sensors, photoelectrodes for solar water splitting, batteries, and logic devices. The deposition of iron oxide via chemical vapor deposition (CVD) or atomic layer deposition (ALD) under mild conditions necessitates a precursor that comprises good volatility, stability, and reactivity. Here, a versatile iron precursor, namely [bis(N-isopropylketoiminate) iron(II)], which possesses ideal characteristics both for low-temperature CVD and water-assisted ALD processes, is reported. The films are thoroughly investigated toward phase, composition, and morphology. As-deposited ALD grown Fe2O3 layers are amorphous, while the CVD process in the presence of oxygen leads to polycrystalline hematite layers. The nanostructured iron oxide grown via CVD consists of nanoplatelets that are appealing for photoelectrochemical applications. Preliminary tests of the photoelectrocatalytic activity of CVD-grown Fe2O3 layers show photocurrent densities up to 0.3 mA cm(-2) at 1.2 V versus reversible hydrogen electrode (RHE) and 1.2 mA cm(-2) at 1.6 V versus RHE under simulated sunlight (1 sun). Surface modification by cobalt oxyhydroxide (Co-Pi) co-catalyst is found to have a highly beneficial effect on photocurrent, leading to maximum monochromatic quantum efficiencies of 10% at 400 nm and 4% at 500 nm at 1.5 V versus RHE.									25	1	0	0	0	0	25			2196-7350			WOS:000411525700006		
J	Zhang, Xiaoyan; Pan, Shuang; Song, Huanhuan; Guo, Wengai; Gu, Fan; Yan, Chengzhan; Jin, Huile; Zhang, Lijie; Chen, Yihuang; Wang, Shun				Wang, shun/E-4528-2012; jin, huile/L-7734-2016	Wang, shun/0000-0001-5305-5134; jin, huile/0000-0002-2899-0515; Chen, Yihuang/0000-0002-2887-6317			Photothermal effect enables markedly enhanced oxygen reduction and evolution activities for high-performance Zn-air batteries								JOURNAL OF MATERIALS CHEMISTRY A				9	35			19734	19740		10.1039/d1ta03652a		JUN 2021		SEP 21 2021	2021	The ability to craft high-performance and cost-effective bifunctional oxygen catalysts opens up pivotal perspectives for commercialization of zinc-air batteries (ZABs). Despite recent grand advances in the development of synthetic techniques, the overall performance of electrocatalytic processes enters the bottleneck stage through focusing only on the design and modification of bifunctional catalyst materials. Herein, we report a simple yet robust strategy to markedly boost the performance of ZABs via capitalizing on the photothermal effect. Concretely, a bifunctional electrocatalyst comprising Co3O4 nanoparticles encapsulated within N-doped reduced graphene oxide (denoted as Co3O4/N-rGO) acted as both active material and photothermal component. Upon light illumination, the compelling photothermal effect of Co3O4/N-rGO rendered a localized and instant heating of the electrode with more active sites, enhanced electrical conductivity and improved release of bubbles. As such, a prominently reduced indicator Delta E of 0.635 V was realized, significantly outperforming recently reported systems (usually >0.68 V). Corresponding rechargeable ZABs based on Co3O4/N-rGO air electrodes possessed an excellent maximum power density of 299 mW cm(-2) (1.8 times that of Pt/Ru-based ZABs) assisted by the photothermal effect with a superb cycling stability (over 500 cycles). This intensification strategy opens vast possibilities to ameliorate the performance of catalysts via innovatively and conveniently utilizing their photothermal feature, which may advance future application in high-performance ZABs and other energy conversion and storage systems.									14	0	0	0	1	0	14			2050-7488	2050-7496		WOS:000671844000001		
J	Chen, Lei; Qin, Kezhang; Li, Jinxiang; Xiao, Bo; Li, Guangming; Zhao, Junxing; Fan, Xin				Li, Jinxiang/W-2233-2017; Qin, Kezhang/B-6616-2012; Qin, Kezhang/K-4695-2017; Li, Guangming/L-8547-2019	Li, Jinxiang/0000-0002-1040-4143; 			Fluid Inclusions and Hydrogen, Oxygen, Sulfur Isotopes of Nuri Cu-W-Mo Deposit in the Southern Gangdese, Tibet								RESOURCE GEOLOGY				62	1			42	62		10.1111/j.1751-3928.2011.00179.x				2012	2012	The Nuri Cu-W-Mo deposit is located in the southern subzone of the Cenozoic Gangdese Cu-Mo metallogenic belt. The intrusive rocks exposed in the Nuri ore district consist of quartz diorite, granodiorite, monzogranite, granite porphyry, quartz diorite porphyrite and granodiorite porphyry, all of which intrude in the Cretaceous strata of the Bima Group. Owing to the intense metasomatism and hydrothermal alteration, carbonate rocks of the Bima Group form stratiform skarn and hornfels. The mineralization at the Nuri deposit is dominated by skarn, quartz vein and porphyry type. Ore minerals are chalcopyrite, pyrite, molybdenite, scheelite, bornite and tetrahedrite, etc. The oxidized orebodies contain malachite and covellite on the surface. The mineralization of the Nuri deposit is divided into skarn stage, retrograde stage, oxide stage, quartz-polymetallic sulfide stage and quartz-carbonate stage. Detailed petrographic observation on the fluid inclusions in garnet, scheelite and quartz from the different stages shows that there are four types of primary fluid inclusions: two-phase aqueous inclusions, daughter mineral-bearing multiphase inclusions, CO2-rich inclusions and single-phase inclusions. The homogenization temperature of the fluid inclusions are 280 degrees C386 degrees C (skarn stage), 200 degrees C340 degrees C (oxide stage), 140 degrees C375 degrees C (quartz-polymetallic sulfide stage) and 160 degrees C280 degrees C (quartz-carbonate stage), showing a temperature decreasing trend from the skarn stage to the quartz-carbonate stage. The salinity of the corresponding stages are 2.9%49.7 wt% (NaCl) equiv., 2.1%7.2 wt% (NaCl) equiv., 2.6%55.8 wt% (NaCl) equiv. and 1.2%15.3 wt% (NaCl) equiv., respectively. The analyses of CO2-rich inclusions suggest that the ore-forming pressures are 22.1 M Pa50.4 M Pa, corresponding to the depth of 0.9 km2.2 km. The Laser Raman spectrum of the inclusions shows the fluid compositions are dominated in H2O, with some CO2 and very little CH4, N2, etc. dD values of garnet are between -114.4% and -108.7% and d18OH2O between 5.9% and 6.7%; dD of scheelite range from -103.2% to -101.29% and d18OH2O values between 2.17% and 4.09%; dD of quartz between -110.2% and -92.5% and d18OH2O between -3.5% and 4.3%. The results indicate that the fluid came from a deep magmatic hydrothermal system, and the proportion of meteoric water increased during the migration of original fluid. The d34S values of sulfides, concentrated in a rage between -0.32% to 2.5%, show that the sulfur has a homogeneous source with characteristics of magmatic sulfur. The characters of fluid inclusions, combined with hydrogen-oxygen and sulfur isotopes data, show that the ore-forming fluids of the Nuri deposit formed by a relatively high temperature, high salinity fluid originated from magma, which mixed with low temperature, low salinity meteoric water during the evolution. The fluid flow through wall carbonate rocks resulted in the formation of layered skarn and generated CO2 or other gases. During the reaction, the ore-forming fluid boiled and produced fractures when the pressure exceeded the overburden pressure. Themeteoric water mixed with the ore-forming fluid along the fractures. The boiling changed the pressure and temperature, oxygen fugacity, physical and chemical conditions of the whole mineralization system. The escape of CO2 from the fluid by boiling resulted in scheelite precipitation. The fluid mixing and boiling reduced the solubility of metal sulfides and led the precipitation of chalcopyrite, molybdenite, pyrite and other sulfide.									32	8	0	0	1	0	39			1344-1698	1751-3928		WOS:000298591200004		
J	Markl, G; Marks, M; Wirth, R								The influence of T, a(SiO2), and f(O2) on exsolution textures in Fe-Mg olivine: An example from augite syenites of the Ilimaussaq Intrusion, South Greenland								AMERICAN MINERALOGIST				86	1-2			36	46						JAN-FEB 2001	2001	Two samples from the augite syenite unit of the 1.13 Ga alkaline to peralkaline Illimaussaq intrusion in South Greenland contain olivine (Fa(75.85))With micrometer-sized exsolution lamellae of intergrown augite and magnetite. The exsolved olivine contains only about 0.6 wt% CaO, whereas the reintegrated magmatic composition contained about 1.4% CaO corresponding to about 3 mol% of a larnite (La) component. The exsolved olivine bears no measurable Na, Al, or Ti, but the reintegrated magmatic olivine contained up to 0.4 wt% Na2O, 0.2 wt% Al2O3, and 0.3 wt% TiO2. Magmatic baddeleyite in the same samples indicates an extremely low silica activity of below 0.4 during the early stages of magmatic crystallization at > 900 degreesC and 1 kbar. According to the equilibrium Ca2SiO4 (La in Ol) + SiO2 = 2 CaSiO3 (Wo in Cpx), the low silica activity is thought to be responsible for the unusually Ca-rich compositions of the primary olivines, which, in these samples, formed at 875 +/- 15 degreesC and at oxygen fugacities between 1.2 and 2.3 log units below the QFM buffer. The composite exsolution lamellae formed during cooling due to an overstep of the schematic reaction Fa + Kst (Ca-rich component in olivine) + 1/3 O-2 = Hd + 2/3 Mt. Phase equilibria indicate temperatures between 300 and 750 degreesC and oxygen fugacities close to QFM for this exsolution process. The lamellae only developed in samples where the olivines were both especially high in Ca and presumably rapidly cooled (although not chilled!), as the lamella-bearing samples were collected at the outermost rim of the augite syenite unit and close to the top of the Ilimaussaq intrusion. Schreinemakers analysis shows that Ca-rich olivine of the kirschsteinite-monticellite solid solution series [Ca(Fe,Mg)SiO4] would exsolve from Ca-bearing olivine of the fayalite-forsterite series only at unusually low silica activities. whereas at higher silica activities, the observed exsolutions of clinopyroxene with magnetite are more stable. Hence, both cooling history and evolution of intensive variables during: cooling are important for the formation of olivine exsolution textures.									33	0	0	0	1	0	33			0003-004X			WOS:000166355700005		
