PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Gurel, H. Hakan; Ciraci, S.				Gürel, Hikmet Hakan/F-6313-2018	Ciraci, Salim/0000-0001-8023-9860			Enhanced reduction of graphene oxide by means of charging and electric fields applied to hydroxyl groups								JOURNAL OF PHYSICS-CONDENSED MATTER				25	43					435304	10.1088/0953-8984/25/43/435304				OCT 30 2013	2013	We present a first-principles study of the effects of charging and perpendicular electric fields on hydroxyl groups, both of which mediate the reduction of graphene oxide through the formation of H2O and H2O2. Starting with an investigation of the interaction between the hydroxyl groups and graphene, we determine the equilibrium binding geometry, binding energy, and the diffusion path with a minimum energy barrier and show that those equilibrium properties are strongly affected by external agents. While co-adsorbed H and O form bound OH, co-adsorbed H and OH in close proximity form H2O with almost no energy barrier. When negatively charged or subjected to a perpendicular electric field, the energy barrier between two OH co-adsorbed in close proximity is weakened or totally suppressed, forming an oxygen atom strongly bound at the bridge site, together with a water molecule. The water molecule by itself is very weakly bound to graphene and is prone to desorb from the surface, leading to the reduction of graphene oxide. It is therefore demonstrated that the reduction of graphene oxide is promoted to a large extent by negative charging or an applied perpendicular electric field, through the formation of weakly bound water molecules from hydroxyl groups.									15	0	0	0	0	0	15			0953-8984	1361-648X		WOS:000325896900004	24100143	
J	Geng, Lijun; Jia, Yuhan; Zhang, Hanyu; Cui, Chaonan; Luo, Zhixun				Luo, Zhixun/C-1630-2009	Luo, Zhixun/0000-0002-5752-1996			Plasma-Assisted Dinitrogen Activation on Small Cobalt Clusters: Co4N9+ with Enhanced Stability								CHEMPHYSCHEM				23	17					e202200288	10.1002/cphc.202200288		JUN 2022		SEP 5 2022	2022	We have performed a study on the accommodation of nitrogen doping toward superatomic states of transition metal clusters. By reacting cobalt clusters with N-2 in the presence of plasma radiation, a large number of odd-nitrogen clusters were observed, typically Co3N2m-1+ (m=1-5) and Co4N2m-1+ (m=1-6) series, showing N equivalent to N bond cleavage in the mild plasma atmosphere. Interestingly, the Co3N7+, Co4N9+, and Co5N9+ clusters exhibit prominent mass abundances. First-principles calculation results elucidate the stability of the diverse cobalt nitride clusters and find unique stability of Co4N9+ with a swallow-kite structure of which four coordinated N-2 molecules causes a significantly enlarged HOMO-LUMO gap, while the single N atom doping gives rise to superatomic states of 1S(2)1P(3)||1D(0). We reveal an efficient dinitrogen activation strategy by reacting multiple N-2 molecules with cobalt clusters under a plasma atmosphere.									2	0	0	0	0	0	1			1439-4235	1439-7641		WOS:000818445200001	35689533	
J	Miao, Yucong; Shao, Mingfei								Photoelectrocatalysis for high-value-added chemicals production								CHINESE JOURNAL OF CATALYSIS				43	3			595	610		10.1016/S1872-2067(21)63923-2				MAR 2022	2022	Photoelectrocatalysis (PEC) is a promising approach that can convert renewable solar energy into chemical energy, while most concern is concentrated on PEC water splitting to obtain high-value-added fuel-hydrogen. In practice, more economic benefits can be produced based on PEC technique, such as H2O oxidative H2O2 synthesis, organic selective oxidation, organic pollutants degradation and CO2 reduction. Although there are plenty of excellent reviews focusing on the PEC water splitting system, the production of various high-value-added chemicals in PEC systems has not been discussed synthetically. This Account will focus on the production process of various high-value-added chemicals through PEC technology. The photoelectrode design, reaction environment and working mechanisms of PEC systems are also discussed in detail. We believe that this comprehensive Account of the expanded application of photoelectrocatalysis can add an inestimable impetus to the follow-up development of this technology. (C) 2022, Dalian Institute of Chemical Physics, Chinese Academy of Sciences. Published by Elsevier B.V. All rights reserved.									2	0	0	0	0	0	2			0253-9837	1872-2067		WOS:000752454100009		
J	Alam, Suhaib; Sahu, Tushar Kanta; Qureshi, Mohammad					QURESHI, MOHAMMAD/0000-0003-0970-6870; Alam, Suhaib/0000-0003-2544-8066			One-Dimensional Co(OH)F as a Noble Metal-Free Redox Mediator and Hole Extractor for Boosted Photoelectrochemical Water Oxidation in Worm-like Bismuth Vanadate								ACS SUSTAINABLE CHEMISTRY & ENGINEERING				9	14			5155	5165		10.1021/acssuschemeng.1c00288		MAR 2021		APR 12 2021	2021	In this work, a noble metal-free one-dimensional Co(OH)F and hierarchical BiVO4 combination as a model system is proposed for an efficient photoelectrochemical catalyst. BiVO4, known for its superior theoretical current density of 7.5 mA/cm(2), suffers from poor photoelectrochemical performance due to the sluggish water oxidation kinetics, recombination of photogenerated carriers, and results in reduced photoelectrochemical water oxidation. BiVO4/Co(OH)F photoanode exhibits an enhanced photocurrent and a cathodic shift of 160 mV in onset potential as compared to the pristine BiVO4 photoanode. Cyclic voltametric studies reveal that cobalt exists in the mixed valence state. The presence of fluorine by virtue of its high electronegativity induces facile positive charge on the metal center, i.e., on cobalt, thereby Co2+ ions as an active site accept holes more efficiently from the semiconductor and oxidized to Co3+ or/and Co4+. Subsequently, these active species, Co3+ or/and Co4+, deliver the positive charge to produce O-2 and recover to the initial state to regenerate redox couple. A mechanistic study reveals that Co(OH)F nanorods as an efficient hole extractor by virtue of its redox ability, suppresses the recombination of photogenerated electron-hole at the electrolyte/semiconductor interface and accelerates the water-oxidation kinetics. Co(OH)F modification of the BiVO4 surface is able to utilize a higher number of holes, which have reached the semiconductor/electrolyte interface for water oxidation that resulted in a photocurrent of 3.4 mA/cm(2). Investigations on the hole transfer efficiency reveals a faster oxidation kinetics, resulting in improved charge injection in the presence of Co(OH)F. Electrochemical impedance measurements shows a low interfacial charge transfer resistance leading to better photoelectrochemical performance. A Faradaic yield of similar to 95% suggests that the generated charge carriers (anodic photocurrent) in the BiVO4/Co(OH)F photoanode is predominantly due to water oxidation.									8	0	0	0	0	0	8			2168-0485			WOS:000640356500022		
J	Matta, Kasi; Zhang, Chunmei; Jiao, Yalong; O'Mullane, Anthony; Du, Aijun				Du, Aijun/C-5759-2009; O'Mullane, Anthony/A-1289-2009; M, Sri K/P-8227-2018	Du, Aijun/0000-0002-3369-3283; O'Mullane, Anthony/0000-0001-9294-5180; M, Sri K/0000-0003-4465-640X; Zhang, Chunmei/0000-0003-0485-177X			Versatile two-dimensional silicon diphosphide (SiP2) for photocatalytic water splitting								NANOSCALE				10	14			6369	6374		10.1039/c7nr07994j				APR 14 2018	2018	The development of two-dimensional (2D) photocatalysts with excellent visible light absorption and favorable band alignment is critical for highly-efficient water splitting. Here we systematically study the structural, electronic and optical properties of an experimentally unexplored 2D Silicon Diphosphide (SiP2) based on density functional theory (DFT). We found that the single-layer SiP2 is highly feasible to obtain experimentally by mechanical cleavage and it is dynamically stable by analyzing its vibrational normal mode. Two dimensional SiP2 possesses a direct band gap of 2.25 eV, which is much smaller than those of more widely studied photocatalysts including titania (3.2 eV) and graphitic carbon nitride (2.7 eV), thus displaying excellent ability for sunlight harvesting. Most interestingly, the positions of the conduction band minimum (CBM) and valence band maximum (VBM) in 2D SiP2 fit perfectly the water oxidation and reduction potentials, making it a potential new 2D material that is suitable as a nanoscale photocatalyst for photo-electrochemical water splitting.									33	2	0	0	0	0	34			2040-3364	2040-3372		WOS:000429530400017	29560982	
J	An, Baozhen; Li, Mingjie; Wang, Jialin; Li, Chaoxu				Li, Chaoxu/M-5752-2019; li, chaoxu/F-5483-2012	Li, Chaoxu/0000-0002-4127-7212; 			Shape/size controlling syntheses, properties and applications of two-dimensional noble metal nanocrystals								FRONTIERS OF CHEMICAL SCIENCE AND ENGINEERING				10	3			360	382		10.1007/s11705-016-1576-0				SEP 2016	2016	Two dimensional (2D) nanocrystals of noble metals (e.g., Au, Ag, Pt) often have unique structural and environmental properties which make them useful for applications in electronics, optics, sensors and biomedicines. In recent years, there has been a focus on discovering the fundamental mechanisms which govern the synthesis of the diverse geometries of these 2D metal nanocrystals (e.g., shapes, thickness, and lateral sizes). This has resulted in being able to better control the properties of these 2D structures for specific applications. In this review, a brief historical survey of the intrinsic anisotropic properties and quantum size effects of 2D noble metal nanocrystals is given and then a summary of synthetic approaches to control their shapes and sizes is presented. The unique properties and fascinating applications of these nanocrystals are also discussed.									16	3	0	0	0	0	16			2095-0179	2095-0187		WOS:000382436900003		
B	Holguin, M.								Enabling Long Duration Spaceflight via an Integrated Vehicle Fluid System								AIAA SPACE 2016								5 pp.	5 pp.						2016	2016	This paper offers a summary of capabilities for the Integrated Vehicle Fluids (IVF) system that United Launch Alliance (ULA) is developing in order to reduce cost, reduce upper stage mass and reduce the number of independent upper stage systems. In addition, IVF increases the upper stage capability to enable long duration spaceflight. IVF is a single system that replaces three independent upper stage subsystems, the helium pressurization system, the reaction control system and the electrical power storage subsystem. IVF is critical to this long duration capability and is essential for the Advanced Cryogenic Upper Stage (ACES) that will replace Centaur and increase performance for the Vulcan booster. This capability is revolutionary and is a departure from the incremental evolution of the existing Evolved Expendable Launch Vehicle cryogenic upper stages. This paper will explore the basic concept of operations and results of development and proof of concept testing recently accomplished. The results show that there is a high technical readiness and a valid risk reduction approach to using the otherwise unusable gases from the liquid oxygen and hydrogen tanks to fuel an internal combustion engine that powers the pressurization, attitude control and electrical needs of the upper stage. It will also explore the possibility of in-space refueling from lunar or other resources already in space.					AIAA SPACE 2016AIAA SPACE 2016	13-16 Sept. 201613-16 Sept. 2016		Long Beach, CA, USALong Beach, CA, USA	0	0	0		0	0	0					978-1-62410-427-5	INSPEC:16783904		
J	Wang, Ting; Zhang, Xiaoxue; Zhu, Xiaojuan; Liu, Qian; Lu, Siyu; Asiri, Abdullah M.; Luo, Yonglan; Sun, Xuping				Asiri, Abdullah M./C-3458-2009; Lu, Siyu/AGY-5128-2022	Asiri, Abdullah M./0000-0001-7905-3209; Lu, Siyu/0000-0003-4538-7846			Hierarchical CuO@ZnCo LDH heterostructured nanowire arrays toward enhanced water oxidation electrocatalysis								NANOSCALE				12	9			5359	5362		10.1039/d0nr00752h				MAR 7 2020	2020	It is of great importance to design and develop complex heterostructured nanocatalysts with superior electrochemical performance to that of single structured ones. Here, we report the hydrothermal fabrication of a hierarchical heterostructured CuO@ZnCo layered double hydroxide nanowire array on a copper foil (CuO@ZnCo LDH/CF). As a self-supported electrocatalyst for water oxidation, CuO@ZnCo LDH/CF has superior catalytic activity with the requirement of a low overpotential of 270 mV to attain 10 mA cm(-2) in 1.0 M KOH. In addition, it shows strong durability to maintain its activity for at least 24 h.									74	2	0	0	6	0	75			2040-3364	2040-3372		WOS:000519254300010	32100817	
J	Xie, Ruzhen; Meng, Xiaoyang; Sun, Peizhe; Niu, Junfeng; Jiang, Wenju; Bottomley, Lawrence; Li, Duo; Chen, Yongsheng; Crittenden, John				Chen, Yongsheng/B-1541-2010; jiang, wen/GYI-9662-2022; Niu, Junfeng/A-5489-2012; Sun, Peizhe/G-6461-2014	Chen, Yongsheng/0000-0002-9519-2302; Niu, Junfeng/0000-0003-2592-3103; Sun, Peizhe/0000-0001-7538-5345			Electrochemical oxidation of ofloxacin using a TiO2-based SnO2-Sb/polytetrafluoroethylene resin-PbO2 electrode: Reaction kinetics and mass transfer impact								APPLIED CATALYSIS B-ENVIRONMENTAL				203				515	525		10.1016/j.apcatb.2016.10.057				APR 2017	2017	Electrochemical Electrochemical oxidation has been proposed for the destruction of organic contaminants; however, this process is hampered by low oxidation efficiency and high energy cost. Accordingly, we developed a TiO2-based SnO2-Sbipolytetrafluroethylene resin (FR)-PbO2 electrode that was based on TiO2 nano tubes. We tested the performance of the electrode on an antibiotic, ofloxacin, and identified the major pathway of ofloxacin oxidation. We found growing TiO2 nanotubes on Ti material increased current efficiency, and the electrical efficiency per order (EE/O, kWhim(3)) for oxidation was decreased by 16.2%. Our electrode requires a large overpotential before electrons flow, which minimizes oxygen evolution, reduces hydrogen peroxide and ozone generation, and favors hydroxyl radicals (HO center dot) production. We found the electron efficiency (EE) during oxidation was as high as 88.45%. In other words, 88.45% of the electrons that flow out of the electrode cause oxidation. The effects of current density, initial concentration, pH value and electrolyte concentration were investigated. A differential column batch reactor (DCBR) was used to simulate the performance of continuous plug flow reactor and we found that the destruction of ofloxacin followed pseudo-first order model. We also. evaluated the impact of mass transfer on electrochemical performance. The effects of fluid velocity and electrode spacing on-oxidation rate were evaluated by determining the mass transfer coefficient and the effectiveness factor Omega (between 0 and 1). Our experiments and calculations indicated that the mass transfer reduced oxidation rate by more than 55% (Omega <0.45) for an electrode spacing of 1 cm at a fluid velocity of 0.033 mks. Unlike studies carried out using completely mixed batch reactor, the DCBR can simulate the flow conditions in pilot or full scale reactors; consequently, observed pseudo-first order rate constants in the DCBR can be used for preliminary design. (C) 2016 Elsevier B.V. All rights reserved.									154	10	0	0	61	0	160			0926-3373	1873-3883		WOS:000390965000050		
J	Santos, MC; Oliveira, RTS; Pereira, EC; Bulhoes, LOS				Santos, Mauro Coelho dos/W-6889-2019; Pereira, Ernesto C/A-8576-2011; Oliveira, Robson T. S./Q-1037-2015; Bulhões, Luis Otavio/GNW-3845-2022; Pereira, Ernesto/AAL-2345-2020	Santos, Mauro Coelho dos/0000-0001-6524-838X; Pereira, Ernesto C/0000-0003-1058-302X; Pereira, Ernesto/0000-0003-1058-302X; S. Bulhoes, Luis Otavio/0000-0002-9772-4034; Oliveira, Robson/0000-0003-3484-6859			Electrochemical and mass variation behaviour of rhodium oxide electrodes prepared by the polymeric precursor method								THIN SOLID FILMS				483	1-2			164	168		10.1016/j.tsf.2005.01.005				JUL 1 2005	2005	This paper describes an investigation of the charging processes of Rh2O3 electrodes in acidic medium using Electrochemical Quartz Crystal Microbalance. The Rh2O3 was prepared by the Pechini method. The microstructural characterization of the rhodium oxide was performed using Scanning Electron Microscopy and the structure was determined by X-ray diffraction. The Rh2O3 oxidizes at potentials higher than 0.8 V. A mass loss of 60 ng was observed during the anodic sweep. The same amount is gained during the cathodic sweep indicating that the process is reversible. From the mass versus charge plots a slope of 8.5 g mol(-1) is calculated. Considering a process that involves a two-electron transfer, the oxidation of Rh2O3 to RhO2 with the loss of a water molecule (18 g mol-1) is proposed. (c) 2005 Elsevier B.V. All rights reserved.									4	0	0	0	0	0	4			0040-6090			WOS:000229681700028		
