PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Qiao, Yuyan; Pan, Yanqiu; Zhang, Jiangwei; Wang, Bin; Wu, Tingting; Fan, Wenjun; Cao, Yucheng; Mehmood, Rashid; Zhang, Fei; Zhang, Fuxiang				Zhang, Jiangwei/B-2008-2012	Zhang, Jiangwei/0000-0002-1221-3033			Multiple carbon interface engineering to boost oxygen evolution of NiFe nanocomposite electrocatalyst								CHINESE JOURNAL OF CATALYSIS				43	9			2354	2362		10.1016/S1872-2067(21)63916-5				SEP 2022	2022	Interface engineering has been widely investigated to regulate the structure and performance of electrodes and photoelectrodes, but the investigation of multiple carbon interface modifications on the electrocatalytic oxygen evolution reaction (OER) is still shortage. Herein, we report remarkable promotion of OER performance on the NiFe-based nanocomposite electrocatalyst via the synergy of multiple carbon-based interface engineering. Specifically, carbon nanotubes were in situ grown on carbon fiber paper to improve the interface between CFP and NiFeOxHy, and graphite carbon nanoparticles were in situ loaded and partly doped into the NiFeOxHy to modify the intergranular interface charge transfer and electronic structure of NiFeOxHy. Consequently, the as-obtained NiFeOxHy-C/CNTs/CFP catalyst exhibited significantly enhanced electrocatalytic OER activity with an overpotential of 202 mV at 10 mA cm???2 in 1 mol L???1 KOH. Our work not only extends application of carbon materials but also provides an alternative strategy to develop highly efficient electrocatalysts.									0	0	0	0	0	0	0			0253-9837	1872-2067		WOS:000842369100008		
J	Lu, Mengting; Li, Yuwen; Wu, Yuhang; Xu, Hui; Gao, Junkuo; Xu, Shiqing				Gao, Junkuo/J-5866-2014	Gao, Junkuo/0000-0001-9778-4312			Trimetallic Nanoparticles Encapsulated into Bamboo-Like N-Doped Carbon Nanotubes as a Robust Catalyst for Efficient Oxygen Evolution Electrocatalysis								CHEMNANOMAT				6	10			1496	1501		10.1002/cnma.202000365		SEP 2020		OCT 2020	2020	High-efficiency oxygen evolution reaction (OER) electrocatalysts based on transition metal materials are one of the most promising alternatives, but their activity and durability are still far from desirable. Here, we report trimetallic N-doped carbon nanotubes with rapid electron transport and rapid diffusion of the electrolyte that can significantly enhance the OER. The introduction of a third metal can adjust the electronic structure, thereby causing favorable intermediate adsorption on the catalysts. The optimized catalyst CoFeNi@CNTs exhibits a low overpotential of 287 mV at 10 mA cm(-2)and a small Tafel slope of 32 mV dec(-1), which are obviously superior to the precious catalyst IrO(2)and most previously reported catalysts. The CoFeNi@CNTs also exhibit excellent OER stability with small current density decay after 12 h. The outstanding OER activity is ascribed to the unique carbon nanotube structure and strong synergy between three metals.									6	1	0	0	0	0	6			2199-692X			WOS:000570373600001		
J	Moeller, Sandra; Barwe, Stefan; Dieckhoefer, Stefan; Masa, Justus; Andronescu, Corina; Schuhmann, Wolfgang				Schuhmann, Wolfgang/S-2626-2016	Schuhmann, Wolfgang/0000-0003-2916-5223; Andronescu, Corina/0000-0002-1227-1209; Moller, Sandra/0000-0002-4896-2204; Masa, Justus/0000-0002-8555-5157			Differentiation between Carbon Corrosion and Oxygen Evolution Catalyzed by NixB/C Hybrid Electrocatalysts in Alkaline Solution using Differential Electrochemical Mass Spectrometry								CHEMELECTROCHEM				7	12			2680	2686		10.1002/celc.202000697				JUN 17 2020	2020	Carbon is a frequently used electrode material and an important additive in catalyst films. Its corrosion is often reported during electrocatalysis at high anodic potentials, especially in acidic electrolyte. Investigation of the carbon corrosion in alkaline environment is difficult due to the CO2/CO(3)(2-)equilibrium. We report the on-line determination of electrolysis products generated on NixB/C hybrid electrocatalysts in alkaline electrolyte at anodic potentials using differential electrochemical mass spectrometry (DEMS). NixB/C catalyst films were obtained from mixtures containing different ratios of NiXB and benzoxazine monomers followed by polymerization and pyrolysis. The impact of the composition of the electrocatalyst on the dominant electrolysis process allows to distinguish between the oxygen evolution reaction and carbon corrosion using DEMS results as well as the catalyst surface composition evaluated from X-ray photoelectron spectra. At the imposed highly oxidative conditions, an increasing amount of NixB in the electrocatalyst leads to a suppression of carbon corrosion.									6	0	0	0	0	0	6			2196-0216			WOS:000544040500021		
J	Huang, Jianwen; Li, Yaoyao; Zhang, Yadong; Rao, Gaofeng; Wu, Chunyang; Hu, Yin; Wang, Xianfu; Lu, Ruifeng; Li, Yanrong; Xiong, Jie				Xiong, Jie/M-5645-2017; Hu, Yin/A-2557-2017; Wang, Xianfu/F-5621-2014; Hu, Yin/GPG-0881-2022	Xiong, Jie/0000-0003-3881-6948; Hu, Yin/0000-0003-2090-1845; Wang, Xianfu/0000-0002-2066-7473; Hu, Yin/0000-0003-2090-1845			Identification of Key Reversible Intermediates in Self-Reconstructed Nickel-Based Hybrid Electrocatalysts for Oxygen Evolution								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				58	48			17458	17464		10.1002/anie.201910716		OCT 2019		NOV 25 2019	2019	The oxygen evolution reaction (OER) has been explored extensively for reliable hydrogen supply to boost the energy conversion efficiency. The superior OER performance of newly developed non-noble metal electrocatalysts has concealed the identification of the real active species of the catalysts. Now, the critical active phase in nickel-based materials (represented by NiNPS) was directly identified by observing the dynamic surface reconstruction during the harsh OER process via combining insitu Raman tracking and exsitu microscopy and spectroscopy analyses. The irreversible phase transformation from NiNPS to alpha-Ni(OH)(2) and reversible phase transition between alpha-Ni(OH)(2) and gamma-NiOOH prior to OER demonstrate gamma-NiOOH as the key active species for OER. The hybrid catalyst exhibits 48-fold enhanced catalytic current at 300mV and remarkably reduced Tafel slope to 46mVdec(-1), indicating the greatly accelerated catalytic kinetics after surface evolution.									137	8	0	0	11	0	138			1433-7851	1521-3773		WOS:000494114100001	31550415	
J	Zhao, Jinxiu; Ren, Xiang; Han, Qingzhi; Fan, Dawei; Sun, Xu; Kuang, Xuan; Wei, Qin; Wu, Dan				Zhang, Li/GWM-7501-2022; Wei, Qin/AAF-3325-2019; Zhao, Jinxiu/AAC-6807-2020	Zhao, Jinxiu/0000-0002-2135-4292			Ultra-thin wrinkled NiOOH-NiCr2O4 nanosheets on Ni foam: an advanced catalytic electrode for oxygen evolution reaction								CHEMICAL COMMUNICATIONS				54	39			4987	4990		10.1039/c8cc01002a				MAY 14 2018	2018	Here, we report the in situ electrochemical conversion of NiCr2O4 on Ni foam prepared using a hydrothermal strategy to give ultra-thin wrinkled NiOOH-NiCr2O4 amorphous-crystalline nanosheets on Ni foam (NiOOH-NiCr2O4/NF) via anode oxidation in 1.0 M KOH. Owing to the coordination of NiCr2O4 and NiOOH, NiOOH-NiCr2O4 /NF shows superior catalytic activity toward the oxygen evolution reaction (OER) with the demand of overpotential as low as 271 mV to drive a geometrical current density of 20 mA cm(-2) under alkaline conditions. Notably, it also displays strong long-term electrochemical durability for at least 30 h.									63	2	0	0	1	0	63			1359-7345	1364-548X		WOS:000435872900021	29707707	
J	Scohy, Marion; Abbou, Sofyane; Martin, Vincent; Gilles, Bruno; Sibert, Eric; Dubau, Laetitia; Maillard, Frederic				Maillard, Frédéric/C-7954-2012	Maillard, Frédéric/0000-0002-6470-8900; Scohy, Marion/0000-0003-2337-3953; Sibert, Eric/0000-0003-4084-1624			Probing Surface Oxide Formation and Dissolution on/of Ir Single Crystals via X-ray Photoelectron Spectroscopy and Inductively Coupled Plasma Mass Spectrometry								ACS CATALYSIS				9	11			9859	9869		10.1021/acscatal.9b02988				NOV 2019	2019	Gaining fundamental insights into the formation and the stability of surface oxides on iridium (Ir) surfaces is pivotal to oxygen evolution reaction (OER) electrocatalysis. Herein, we examined the potential-dependent structural and chemical changes occurring on planar Ir(111), Ir(210), and nanofaceted Ir(210) single-crystal surfaces using electrochemistry, scanning probe microscopy, X-ray photoelectron spectroscopy, and inductively coupled plasma mass spectrometry. We show that, after polarization in OER conditions, Ir surface atoms feature mixed oxidation states-(0), (+III), and (+IV)-and then enrich into Ir(+IV) due to the dissolution of Ir(+III) species. The rate of surface and near-surface layer enrichment in Ir(+IV) species depends on the modulation mode of the potential (linear potential sweeps vs. potential steps) and is faster on opened surfaces. By combining fits derived from the XPS spectra and OER activity measurements, we found that the OER specific activity varies with the Ir oxidation state and is closely related to the fraction of Ir(+III) species.									17	0	0	0	0	0	17			2155-5435			WOS:000494549700017		
J	Bamgbelu, Lolade; Holt, Katherine B.				Holt, Katherine/C-2014-2008	Holt, Katherine/0000-0002-3644-1663			In Situ Determination of pH at Nanostructured Carbon Electrodes Using IR Spectroscopy								MATERIALS				12	24					4044	10.3390/ma12244044				DEC 2 2019	2019	Changes in pH at electrode surfaces can occur when redox reactions involving the production or consumption of protons take place. Many redox reactions of biological or analytical importance are proton-coupled, resulting in localized interfacial pH changes as the reaction proceeds. Other important electrochemical reactions, such as hydrogen and oxygen evolution reactions, can likewise result in pH changes near the electrode. However, it is very difficult to measure pH changes located within around 100 mu m of the electrode surface. This paper describes the use of in situ attenuated total reflectance (ATR) infrared (IR) spectroscopy to determine the pH of different solutions directly at the electrode interface, while a potential is applied. Changes in the distinctive IR bands of solution phosphate species are used as an indicator of pH change, given that the protonation state of the phosphate ions is pH-dependent. We found that the pH at the surface of an electrode modified with carbon nanotubes can increase from 4.5 to 11 during the hydrogen evolution reaction, even in buffered solutions. The local pH change accompanying the hydroquinone-quinone redox reaction is also determined.									0	0	0	0	0	0	0				1996-1944		WOS:000507308200022	31817326	
P	MIN Y; LUO S; GAO S; SHI P; FAN J; XU Q								Preparing metal organic framework compound electrocatalyst comprises e.g. dissolving ferric chloride hexahydrate, nickel nitrate hexahydrate in methanol to obtain solution, transferring into reactor, heating, cooling and drying					CN110975937-A	UNIV SHANGHAI ELECTRIC POWER																			NOVELTY - Preparing a metal organic framework compound electrocatalyst comprises (i) dissolving ferric chloride hexahydrate, nickel nitrate hexahydrate in specific proportion in methanol to obtain A solution and dissolving tartaric acid in methanol to obtain solution B; (ii) adding solution B into solution A, utilizing sodium hydroxide methanol solution to adjust the pH value of the mixed solution, stirring evenly and transferring the mixed solution into the reactor; (iii) adding the foamed nickel vertically in the reaction kettle after heating the reaction kettle and cooling naturally; and (iv) taking out the foamed nickel, rinsing it with ethanol, and drying under vacuum. USE - The method is useful for preparing metal organic framework compound electrocatalyst. ADVANTAGE - The method: can utilizes the strong coordination ability of tartaric acid; and provides one-step wet-chemical self-assembly using foam nickel as a substrate to form a three-position nanometer nickel iron tartrate bimetallic organic framework compound comprising two-dimensional nanosheets and produces electrocatalyst with excellent electrocatalytic oxygen evolution activity and excellent cycle stability at high current density. DETAILED DESCRIPTION - An INDEPENDENT CLAIM is also included for application of a metal organic framework compound electrocatalyst, comprising placing the metal organic framework compound electrocatalyst directly in the electrolyte as a working electrode in the three-electrode system to carry out electrocatalytic water decomposition oxygen precipitation reaction.															0						DIIDW:2020304747		
J	Xie, Maowen; Xiong, Xiaoli; Yang, Lin; Shi, Xifeng; Asiri, Abdullah M.; Sun, Xuping				Asiri, Abdullah M./C-3458-2009	Asiri, Abdullah M./0000-0001-7905-3209			An Fe(TCNQ)(2) nanowire array on Fe foil: an efficient non-noble-metal catalyst for the oxygen evolution reaction in alkaline media								CHEMICAL COMMUNICATIONS				54	18			2300	2303		10.1039/c7cc09105b				MAR 4 2018	2018	It is highly desirable to develop efficient and durable oxygen evolution reaction (OER) electrocatalysts. Herein, we report the in situ development of an Fe-(tetracyanoquinodimethane)(2) nanowire array on Fe foil (Fe(TCNQ)(2)/Fe) via a solution immersion method. As a non-noble-metal OER electrocatalyst, such Fe(TCNQ)(2)/Fe needs an overpotential of only 340 mV to drive a geometrical catalytic current density of 10 mA cm(-2) in 1.0 M KOH. Notably, it also shows strong long-term electrochemical durability capable of maintaining its catalytic activity for at least 110 h.									107	3	0	0	2	0	108			1359-7345	1364-548X		WOS:000426701900027	29445791	
P	LIANG L								Preparation of disinfectant e.g. hypochlorous acid for dilute chlorine-containing solutions, involves utilizing reaction tank comprising titanium/titanium dioxide-tungsten trioxide/(iridium-niobium-rhodium)oxide anode, pouring saturated brine and hydrochloric acid, collecting effluent, and diluting					CN113699540-A	LIANG L																			NOVELTY - The preparation of disinfectant e.g. hypochlorous acid, involves (1) utilizing reaction tank comprising titanium/titanium dioxide-tungsten trioxide/(iridium-niobium-rhodium)oxide anode, and (2) pouring mixture of saturated brine and hydrochloric acid into bottom of reaction tank, and (3) collecting the effluent from the top of electrolytic cell, and utilizing and diluting with deionized water. USE - Preparation of disinfectant e.g. hypochlorous acid for use in dilute chlorine-containing solutions. ADVANTAGE - By designing micro-arc oxidation intermediate layer, the bonding force between the base material and the active layer is significantly improved, and the metal oxide enhanced electrolysis ensures prolonged service life, high catalytic activity, high corrosion resistance, high conductivity electrode, and reduces oxygen and chlorine evolution potential, and improves electrochemical conversion efficiency, anode current efficiency 85.394.2%.															0						DIIDW:2021E2487G		
